index,timestamp,title,keywords,metrics,raw_text,element_tag,element_class,links
2,2026-02-20T21:28:09.156666,,"['new', '심석희 최민정 갈등']",{},"심석희 최민정 갈등
new",li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=%EC%8B%AC%EC%84%9D%ED%9D%AC%20%EC%B5%9C%EB%AF%BC%EC%A0%95%20%EA%B0%88%EB%93%B1&service=naver_blog&startDate=2026-02-19']
10,2026-02-20T21:28:09.441668,,[],{},귀멸의 칼날 무한성 ott,span,u_ni_trend_text,[]
12,2026-02-20T21:28:09.565030,,['스타벅스 리유저블컵'],{},스타벅스 리유저블컵,a,u_ni_trend_link,[]
15,2026-02-20T21:28:09.703382,,"['케이뱅크 공모주', 'new']",{},"케이뱅크 공모주
new",li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=%EC%BC%80%EC%9D%B4%EB%B1%85%ED%81%AC%20%EA%B3%B5%EB%AA%A8%EC%A3%BC&service=naver_blog&startDate=2026-02-19']
22,2026-02-20T21:28:09.893534,,[],{},그놈은 드래곤 티어,span,u_ni_trend_text,[]
27,2026-02-20T21:28:10.000652,,[],{},K팝 男가수 혼외자 출산설 논란,span,u_ni_trend_text,[]
29,2026-02-20T21:28:10.109051,30-34세 여자,"['K팝 남가수 혼외자 스캔들', '9', '케이뱅크 복주머니', '심석희 최민정', 'new', '스타벅스 리유저블컵', '심석희 조재범', '갤럭시 s26', '1', '14']",{},"30-34세 여자
레이디두아 결말
-
루원시티 대성베르힐
80
레이디두아
1
K팝 남가수 혼외자 스캔들
new
심석희 최민정 갈등
new
운명전쟁49
3
스타벅스 리유저블컵
new
케이뱅크 복주머니
1
심석희
new
왕과 사는 남자
5
심석희 조재범
new
케이뱅크 공모주
new
갤럭시 s26
1
화초당 지선도령
9
유니클로 배기커브진
2
심석희 최민정
new
빈센트앤코
1
윤대만 신록당
1
청년미래적금
1
노슬비 고딩엄빠
14",div,u_ni_trend_list,"['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=%EB%A0%88%EC%9D%B4%EB%94%94%EB%91%90%EC%95%84%20%EA%B2%B0%EB%A7%90&service=naver_blog&startDate=2026-02-19', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=%EB%A3%A8%EC%9B%90%EC%8B%9C%ED%8B%B0%20%EB%8C%80%EC%84%B1%EB%B2%A0%EB%A5%B4%ED%9E%90&service=naver_blog&startDate=2026-02-19', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=%EB%A0%88%EC%9D%B4%EB%94%94%EB%91%90%EC%95%84&service=naver_blog&startDate=2026-02-19', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=K%ED%8C%9D%20%EB%82%A8%EA%B0%80%EC%88%98%20%ED%98%BC%EC%99%B8%EC%9E%90%20%EC%8A%A4%EC%BA%94%EB%93%A4&service=naver_blog&startDate=2026-02-19', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=%EC%8B%AC%EC%84%9D%ED%9D%AC%20%EC%B5%9C%EB%AF%BC%EC%A0%95%20%EA%B0%88%EB%93%B1&service=naver_blog&startDate=2026-02-19']"
30,2026-02-20T21:28:11.143422,,"['케이뱅크 공모주', 'new']",{},"케이뱅크 공모주
new",a,u_ni_trend_link,[]
32,2026-02-20T21:28:11.254804,,"['35', '메이플키우기 환불']",{},"메이플키우기 환불
35",li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=%EB%A9%94%EC%9D%B4%ED%94%8C%ED%82%A4%EC%9A%B0%EA%B8%B0%20%ED%99%98%EB%B6%88&service=naver_blog&startDate=2026-02-19']
33,2026-02-20T21:28:11.361542,,['루원시티 대성베르힐'],{},루원시티 대성베르힐,li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=%EB%A3%A8%EC%9B%90%EC%8B%9C%ED%8B%B0%20%EB%8C%80%EC%84%B1%EB%B2%A0%EB%A5%B4%ED%9E%90&service=naver_blog&startDate=2026-02-19']
36,2026-02-20T21:28:11.466923,,[],{},루원시티 대성베르힐,span,u_ni_trend_text,[]
41,2026-02-20T21:28:11.560144,,[],{},K팝 남가수 혼외자 스캔들,span,u_ni_trend_text,[]
47,2026-02-20T21:28:11.838535,,['귀멸의 칼날 무한성 ott'],{},귀멸의 칼날 무한성 ott,li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=%EA%B7%80%EB%A9%B8%EC%9D%98%20%EC%B9%BC%EB%82%A0%20%EB%AC%B4%ED%95%9C%EC%84%B1%20ott&service=naver_blog&startDate=2026-02-19']
