index,timestamp,title,keywords,metrics,raw_text,element_tag,element_class,links
2,2026-02-20T17:26:33.155029,만화·애니,"['극장판 귀멸의 칼날 무한성편', '달빛천사 팝업', '에반게리온 순서', '귀멸의 칼날 무한성 ott', '나혼자만 레벨업 3기', '카레곰 블로그', '애니 추천', '무한성 ott', '주술회전 순서', '헌터x헌터']",{},"만화·애니
주술회전 3기
귀멸의 칼날 무한성 ott
주술회전
애니 추천
아름다운 초저녁달
귀멸의 칼날
주술회전 순서
무한성 ott
넷플릭스 애니 추천
귀멸의 칼날 무한성
에반게리온 순서
나혼자만 레벨업 3기
나가노마켓
귀멸의 칼날 순서
은혼 보는 순서
헌터x헌터
극장판 귀멸의 칼날 무한성편
달빛천사 팝업
약사의 혼잣말 3기
카레곰 블로그",div,u_ni_trend_list,"['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=%EC%A3%BC%EC%88%A0%ED%9A%8C%EC%A0%84%203%EA%B8%B0&service=naver_blog&startDate=2026-02-19', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=%EA%B7%80%EB%A9%B8%EC%9D%98%20%EC%B9%BC%EB%82%A0%20%EB%AC%B4%ED%95%9C%EC%84%B1%20ott&service=naver_blog&startDate=2026-02-19', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=%EC%A3%BC%EC%88%A0%ED%9A%8C%EC%A0%84&service=naver_blog&startDate=2026-02-19', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=%EC%95%A0%EB%8B%88%20%EC%B6%94%EC%B2%9C&service=naver_blog&startDate=2026-02-19', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=%EC%95%84%EB%A6%84%EB%8B%A4%EC%9A%B4%20%EC%B4%88%EC%A0%80%EB%85%81%EB%8B%AC&service=naver_blog&startDate=2026-02-19']"
3,2026-02-20T17:26:33.819908,,[],{},그놈은 드래곤 티어,span,u_ni_trend_text,[]
12,2026-02-20T17:26:33.957110,,"['1', '케이뱅크 복주머니']",{},"케이뱅크 복주머니
1",a,u_ni_trend_link,[]
24,2026-02-20T17:26:34.150449,,"['9', '케이뱅크 돈나무']",{},"케이뱅크 돈나무
9",a,u_ni_trend_link,[]
25,2026-02-20T17:26:34.271270,,"['-', '그놈은 드래곤 티어']",{},"그놈은 드래곤 티어
-",li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=%EA%B7%B8%EB%86%88%EC%9D%80%20%EB%93%9C%EB%9E%98%EA%B3%A4%20%ED%8B%B0%EC%96%B4&service=naver_blog&startDate=2026-02-19']
26,2026-02-20T17:26:34.406816,,"['케이뱅크 공모주', 'new']",{},"케이뱅크 공모주
new",a,u_ni_trend_link,[]
33,2026-02-20T17:26:34.570527,,"['35', '메이플키우기 환불']",{},"메이플키우기 환불
35",li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=%EB%A9%94%EC%9D%B4%ED%94%8C%ED%82%A4%EC%9A%B0%EA%B8%B0%20%ED%99%98%EB%B6%88&service=naver_blog&startDate=2026-02-19']
37,2026-02-20T17:26:34.706921,,"['디아블로2 악마술사', '14']",{},"디아블로2 악마술사
14",li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-19&interval=day&query=%EB%94%94%EC%95%84%EB%B8%94%EB%A1%9C2%20%EC%95%85%EB%A7%88%EC%88%A0%EC%82%AC&service=naver_blog&startDate=2026-02-19']
39,2026-02-20T17:26:34.817036,,[],{},루원시티 대성베르힐,span,u_ni_trend_text,[]
41,2026-02-20T17:26:34.892742,,[],{},유니클로 배기커브진,span,u_ni_trend_text,[]
42,2026-02-20T17:26:34.961170,,"['화초당 지선도령', '9']",{},"화초당 지선도령
9",a,u_ni_trend_link,[]
