index,timestamp,title,keywords,metrics,raw_text,element_tag,element_class,links
2,2026-02-21T11:34:05.371737,,"['-', '커플 밸런스게임']",{},"커플 밸런스게임
-",li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EC%BB%A4%ED%94%8C%20%EB%B0%B8%EB%9F%B0%EC%8A%A4%EA%B2%8C%EC%9E%84&service=naver_blog&startDate=2026-02-20']
3,2026-02-21T11:34:05.565251,,"['-', '커플 밸런스게임']",{},"커플 밸런스게임
-",a,u_ni_trend_link,[]
8,2026-02-21T11:34:05.724300,,['넷플릭스 애니 추천'],{},넷플릭스 애니 추천,li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EB%84%B7%ED%94%8C%EB%A6%AD%EC%8A%A4%20%EC%95%A0%EB%8B%88%20%EC%B6%94%EC%B2%9C&service=naver_blog&startDate=2026-02-20']
14,2026-02-21T11:34:05.870760,,['찬란한너의계절에 기본정보'],{},찬란한너의계절에 기본정보,a,u_ni_trend_link,[]
17,2026-02-21T11:34:05.976523,,['귀멸의 칼날 무한성'],{},귀멸의 칼날 무한성,li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EA%B7%80%EB%A9%B8%EC%9D%98%20%EC%B9%BC%EB%82%A0%20%EB%AC%B4%ED%95%9C%EC%84%B1&service=naver_blog&startDate=2026-02-20']
19,2026-02-21T11:34:06.078840,,['용산 치이카와 팝업'],{},용산 치이카와 팝업,li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EC%9A%A9%EC%82%B0%20%EC%B9%98%EC%9D%B4%EC%B9%B4%EC%99%80%20%ED%8C%9D%EC%97%85&service=naver_blog&startDate=2026-02-20']
28,2026-02-21T11:34:06.219677,,['찬란한너의계절에 기본정보'],{},찬란한너의계절에 기본정보,li,u_ni_trend_item,['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EC%B0%AC%EB%9E%80%ED%95%9C%EB%84%88%EC%9D%98%EA%B3%84%EC%A0%88%EC%97%90%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4&service=naver_blog&startDate=2026-02-20']
37,2026-02-21T11:34:06.414266,,[],{},극장판 귀멸의 칼날 무한성편,span,u_ni_trend_text,[]
40,2026-02-21T11:34:06.526884,,"['올팜', '메이플키우기 환불', '밸런스게임', '디아2 래더13', '리니지 클래식', '디아2 악마술사', '커플 밸런스게임', '올팜 맞팜', '모동숲 여욱 진품', '디아블로2 래더13']",{},"올팜 맞팜
-
밸런스게임
2
디아2 래더13
22
리니지 클래식
2
닌텐도 스위치2
2
핀볼게임
3
메이플키우기 환불
4
커플 밸런스게임
-
밸런스게임 질문
1
에르피스 티어
5
케이뱅크 돈나무
1
디아2 악마술사
5
운빨존많겜 티어
7
그놈은 드래곤 티어
-
올팜
1
바다거북스프 문제
3
모동숲 여욱 진품
2
악마술사 스킬트리
2
디아블로2 래더13
new
메이플키우기 쿠폰
2",ul,u_ni_item_list,"['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EC%98%AC%ED%8C%9C%20%EB%A7%9E%ED%8C%9C&service=naver_blog&startDate=2026-02-20', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EB%B0%B8%EB%9F%B0%EC%8A%A4%EA%B2%8C%EC%9E%84&service=naver_blog&startDate=2026-02-20', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EB%94%94%EC%95%842%20%EB%9E%98%EB%8D%9413&service=naver_blog&startDate=2026-02-20', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EB%A6%AC%EB%8B%88%EC%A7%80%20%ED%81%B4%EB%9E%98%EC%8B%9D&service=naver_blog&startDate=2026-02-20', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EB%8B%8C%ED%85%90%EB%8F%84%20%EC%8A%A4%EC%9C%84%EC%B9%982&service=naver_blog&startDate=2026-02-20']"
44,2026-02-21T11:34:07.563778,,"['화초당 지선도령', '얼쓰빕', '9', '47', '빈센트앤코', '32', '11', '청년미래적금', '왕과 사는 남자', '3']",{},"케이뱅크 공모주
11
얼쓰빕
54
스타벅스 리유저블컵
4
레이디두아 결말
3
케이뱅크 복주머니
3
레이디두아
3
화초당 지선도령
7
얼쓰빕 색상
new
갤럭시 s26
4
왕과 사는 남자
-
k팝 혼외자
29
청년미래적금
7
봄동 겉절이
9
이마트 두쫀쿠 키트
32
운명전쟁49
9
현아
new
얼스빕
new
빈센트앤코
1
타낫
47
케이뱅크
new",ul,u_ni_item_list,"['https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EC%BC%80%EC%9D%B4%EB%B1%85%ED%81%AC%20%EA%B3%B5%EB%AA%A8%EC%A3%BC&service=naver_blog&startDate=2026-02-20', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EC%96%BC%EC%93%B0%EB%B9%95&service=naver_blog&startDate=2026-02-20', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%20%EB%A6%AC%EC%9C%A0%EC%A0%80%EB%B8%94%EC%BB%B5&service=naver_blog&startDate=2026-02-20', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EB%A0%88%EC%9D%B4%EB%94%94%EB%91%90%EC%95%84%20%EA%B2%B0%EB%A7%90&service=naver_blog&startDate=2026-02-20', 'https://creator-advisor.naver.com/new-windows/trend-stats?endDate=2026-02-20&interval=day&query=%EC%BC%80%EC%9D%B4%EB%B1%85%ED%81%AC%20%EB%B3%B5%EC%A3%BC%EB%A8%B8%EB%8B%88&service=naver_blog&startDate=2026-02-20']"
