calculation,nb_max,nb_min,difference
1,10164.4525995299,0.0001658644,10164.4524336655
1,107367.9922656607,0.0018430771,107367.9904225836
1,122006.8388334142,0.0019925599,122006.8368408543
1,12345.6789,0.1234,12345.5555
1,124176.0240375,0.0020681888,124176.0219693112
1,17673.3161067974,0.0002908925,17673.315815905
1,3002.5859142114,4.91169e-05,3002.5858650945
1,4761.7180270342,7.79775e-05,4761.7179490567
1,48800.3245820065,0.0008038069,48800.3237781995
1,7475.8467256258,0.000123069,7475.8466025568
